,枠番,馬番,あなたの印※,馬名,性齢,負担重量,騎手,厩舎,予想オッズ,人気,お気に入り馬,登録,あなたのメモ
0,登録,あなたのメモ,,,,,,,,,,,
1,,,,,,,,,,,,,
2,1,1,… ◎ ○ ▲ △ ☆ 消,オジュウチョウサン,牡7,57.0,武豊,和田郎,14.2,6.0,,,
3,1,2,… ◎ ○ ▲ △ ☆ 消,クリンチャー,牡4,57.0,福永,宮本,22.2,10.0,,,
4,2,3,… ◎ ○ ▲ △ ☆ 消,モズカッチャン,牝4,55.0,Ｍデムーロ,鮫島,7.0,3.0,,,
5,2,4,… ◎ ○ ▲ △ ☆ 消,マカヒキ,牡5,57.0,岩田,友道,48.1,12.0,,,
6,3,5,… ◎ ○ ▲ △ ☆ 消,パフォーマプロミス,牡6,57.0,Ｃデムーロ,藤原英,17.7,8.0,,,
7,3,6,… ◎ ○ ▲ △ ☆ 消,サトノダイヤモンド,牡5,57.0,アヴドゥラ,池江,19.9,9.0,,,
8,4,7,… ◎ ○ ▲ △ ☆ 消,サウンズオブアース,牡7,57.0,藤岡佑,藤岡,291.5,15.0,,,
9,4,8,… ◎ ○ ▲ △ ☆ 消,ブラストワンピース,牡3,55.0,池添,大竹,10.8,5.0,,,
10,5,9,… ◎ ○ ▲ △ ☆ 消,リッジマン,牡5,57.0,蛯名,庄野,226.8,14.0,,,
11,5,10,… ◎ ○ ▲ △ ☆ 消,ミッキースワロー,牡4,57.0,横山典,菊沢,23.1,11.0,,,
12,6,11,… ◎ ○ ▲ △ ☆ 消,ミッキーロケット,牡5,57.0,マーフィー,音無,14.3,7.0,,,
13,6,12,… ◎ ○ ▲ △ ☆ 消,レイデオロ,牡4,57.0,ルメール,藤沢和,2.3,1.0,,,
14,7,13,… ◎ ○ ▲ △ ☆ 消,スマートレイアー,牝8,55.0,戸崎圭,大久保,755.2,16.0,,,
15,7,14,… ◎ ○ ▲ △ ☆ 消,キセキ,牡4,57.0,川田,中竹,4.7,2.0,,,
16,8,15,… ◎ ○ ▲ △ ☆ 消,シュヴァルグラン,牡6,57.0,ボウマン,友道,9.7,4.0,,,
17,8,16,… ◎ ○ ▲ △ ☆ 消,サクラアンプルール,牡7,57.0,田辺,金成,127.3,13.0,,,
